# Series;Series description (EN);Metric;Unit of Measure;Reference date;Value;State
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2008-06-30;32039.8;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2008-09-30;32359.7;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2008-12-31;33825.5;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2009-03-31;28533.0;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2009-06-30;32861.4;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2009-09-30;30627.7;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2009-12-31;35924.4;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2010-03-31;29402.3;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2010-06-30;33367.1;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2010-09-30;31391.7;
12518366;Households disposable income-Quarterly-Current prices-M€;Value;Millions of euros;2010-12-31;35766.0;
